2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.1.2 Use of such knowledge in modelling and design,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,CM2103 Routing and Switching,CM2110 Internet of Things,
2.1.3 Problem solving strategies,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,
2.1.4 Analyse if/how a system meets current and future requirements,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.1.6 Recognise legal social ethical & professional issues,,,CM2112 Real World Project and Professional Skills,,,
2.1.7 Knowledge and understanding of commercial and economic issues,,CM2101 Database Systems,,,,CM2104 Dynamic Web Development
2.1.8 Knowledge of management techniques to achieve objectives,,,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,,
2.1.9 Knowledge of information security issues,CM2100 Advanced Software Design and Development,,,CM2103 Routing and Switching,,
2.2.1 Specify design or construct computer-based systems,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.2.2 Evaluate systems in terms of quality and trade-offs,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,CM2103 Routing and Switching,CM2110 Internet of Things,
2.2.3 Recognise risk/safety for safe operation of computing and information systems,,,,,,
2.2.4 Deploy tools effectively,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.3.1 Work as a member of a development team,,,CM2112 Real World Project and Professional Skills,,CM2110 Internet of Things,CM2104 Dynamic Web Development
2.3.2 Development of general transferable skills,CM2100 Advanced Software Design and Development,,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,,CM2104 Dynamic Web Development
3.1.1 Deploy systems to meet business goals,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,,CM2104 Dynamic Web Development
3.1.2 Methods techniques and tools for information modelling management and security,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,CM2103 Routing and Switching,,CM2104 Dynamic Web Development
3.1.3 Knowledge of systems architecture,,CM2101 Database Systems,,,CM2110 Internet of Things,CM2104 Dynamic Web Development
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,,,
3.2.1 Specify deploy verify and maintain information systems,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,,CM2104 Dynamic Web Development
3.2.2 Defining problems managing design process and evaluating outcomes,CM2100 Advanced Software Design and Development,,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
3.2.3 System Design,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
4.1.1 Knowledge and understanding of scientific and engineering principles,,CM2101 Database Systems,,CM2103 Routing and Switching,,
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM2100 Advanced Software Design and Development,CM2101 Database Systems,,,,
4.1.3 Knowledge and understanding of computational modelling,,CM2101 Database Systems,,CM2103 Routing and Switching,CM2110 Internet of Things,
4.2.1 Specify deploy verify and maintain computer-based systems,CM2100 Advanced Software Design and Development,CM2101 Database Systems,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
4.2.2 Defining problems managing design process and evaluating outcomes,CM2100 Advanced Software Design and Development,,CM2112 Real World Project and Professional Skills,CM2103 Routing and Switching,CM2110 Internet of Things,CM2104 Dynamic Web Development
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,,CM2101 Database Systems,,,CM2110 Internet of Things,