target, source, value
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM3102 Operating Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM3104 Computer Security and Cryptography,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM3108 Software Engineering And Project Management,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM3113 Concurrent Programming,1
2.2.4 Deploy tools effectively,CM3102 Operating Systems,1
2.2.4 Deploy tools effectively,CM3104 Computer Security and Cryptography,1
2.2.4 Deploy tools effectively,CM3105 Web Security (see comment),1
2.2.4 Deploy tools effectively,CM3108 Software Engineering And Project Management,1
2.2.4 Deploy tools effectively,CM3110 Mobile App Development,1
2.2.4 Deploy tools effectively,CM3111 Big Data Analytics (see comment),1
2.2.4 Deploy tools effectively,CM3115 C++ for Graphics (see comment),1
2.2.4 Deploy tools effectively,CM3113 Concurrent Programming,1
2.2.4 Deploy tools effectively,CM3116 Graphics Development (see comment),1
2.2.4 Deploy tools effectively,CM3112 3D Modelling (see comment),1
2.3.1 Work as a member of a development team,CM3108 Software Engineering And Project Management,1
2.3.1 Work as a member of a development team,CM3112 3D Modelling (see comment),1
2.3.2 Development of general transferable skills,CM3102 Operating Systems,1
2.3.2 Development of general transferable skills,CM3108 Software Engineering And Project Management,1
2.3.2 Development of general transferable skills,CM3111 Big Data Analytics (see comment),1
2.3.2 Development of general transferable skills,CM3115 C++ for Graphics (see comment),1
2.3.2 Development of general transferable skills,CM3113 Concurrent Programming,1
2.3.2 Development of general transferable skills,CM3116 Graphics Development (see comment),1
2.3.2 Development of general transferable skills,CM3038 Artificial Intellikgence for Problem Solving,1
2.3.2 Development of general transferable skills,CM3112 3D Modelling (see comment),1
3.1.1 Deploy systems to meet business goals,CM3102 Operating Systems,1
3.1.1 Deploy systems to meet business goals,CM3104 Computer Security and Cryptography,1
3.1.1 Deploy systems to meet business goals,CM3108 Software Engineering And Project Management,1
3.1.1 Deploy systems to meet business goals,CM3113 Concurrent Programming,1
3.1.2 Methods techniques and tools for information modelling management and security,CM3102 Operating Systems,1
3.1.2 Methods techniques and tools for information modelling management and security,CM3105 Web Security (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM3111 Big Data Analytics (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM3113 Concurrent Programming,1
3.1.2 Methods techniques and tools for information modelling management and security,CM3038 Artificial Intellikgence for Problem Solving,1
3.1.3 Knowledge of systems architecture,CM3102 Operating Systems,1
3.1.3 Knowledge of systems architecture,CM3105 Web Security (see comment),1
3.1.3 Knowledge of systems architecture,CM3110 Mobile App Development,1
3.1.3 Knowledge of systems architecture,CM3113 Concurrent Programming,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3104 Computer Security and Cryptography,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3111 Big Data Analytics (see comment),1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3115 C++ for Graphics (see comment),1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3113 Concurrent Programming,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3116 Graphics Development (see comment),1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3038 Artificial Intellikgence for Problem Solving,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM3112 3D Modelling (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM3102 Operating Systems,1
3.2.1 Specify deploy verify and maintain information systems,CM3104 Computer Security and Cryptography,1
3.2.1 Specify deploy verify and maintain information systems,CM3105 Web Security (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM3113 Concurrent Programming,1
3.2.1 Specify deploy verify and maintain information systems,CM3038 Artificial Intellikgence for Problem Solving,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3102 Operating Systems,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3104 Computer Security and Cryptography,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3108 Software Engineering And Project Management,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3111 Big Data Analytics (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3115 C++ for Graphics (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3113 Concurrent Programming,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3116 Graphics Development (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3038 Artificial Intellikgence for Problem Solving,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM3112 3D Modelling (see comment),1
3.2.3 System Design,CM3102 Operating Systems,1
3.2.3 System Design,CM3108 Software Engineering And Project Management,1
3.2.3 System Design,CM3110 Mobile App Development,1
3.2.3 System Design,CM3113 Concurrent Programming,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM3104 Computer Security and Cryptography,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM3113 Concurrent Programming,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM3038 Artificial Intellikgence for Problem Solving,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM3112 3D Modelling (see comment),1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM3104 Computer Security and Cryptography,1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM3111 Big Data Analytics (see comment),1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM3113 Concurrent Programming,1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM3038 Artificial Intellikgence for Problem Solving,1
4.1.3 Knowledge and understanding of computational modelling,CM3111 Big Data Analytics (see comment),1
4.1.3 Knowledge and understanding of computational modelling,CM3038 Artificial Intellikgence for Problem Solving,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3102 Operating Systems,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3104 Computer Security and Cryptography,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3105 Web Security (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3115 C++ for Graphics (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3113 Concurrent Programming,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3116 Graphics Development (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM3038 Artificial Intellikgence for Problem Solving,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3102 Operating Systems,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3104 Computer Security and Cryptography,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3108 Software Engineering And Project Management,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3111 Big Data Analytics (see comment),1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3115 C++ for Graphics (see comment),1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3113 Concurrent Programming,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3116 Graphics Development (see comment),1
4.2.2 Defining problems managing design process and evaluating outcomes,CM3038 Artificial Intellikgence for Problem Solving,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM3104 Computer Security and Cryptography,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM3038 Artificial Intellikgence for Problem Solving,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM3112 3D Modelling (see comment),1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4103 Ethical Hacking (see comment),1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4105 Honours Individual Project,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4106 Languages and Compilers,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4107 Advanced Artificial Intelligence,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4108 Cloud Computing (see comment),1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4110 Human Computer Interaction,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4114 Games Development (see comment),1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4025 Enterprise Web Systems,1
2.1.2 Use of such knowledge in modelling and design,CM4105 Honours Individual Project,1
2.1.2 Use of such knowledge in modelling and design,CM4106 Languages and Compilers,1
2.1.2 Use of such knowledge in modelling and design,CM4108 Cloud Computing (see comment),1
2.1.2 Use of such knowledge in modelling and design,CM4110 Human Computer Interaction,1
2.1.2 Use of such knowledge in modelling and design,CM4114 Games Development (see comment),1
2.1.2 Use of such knowledge in modelling and design,CM4025 Enterprise Web Systems,1
2.1.3 Problem solving strategies,CM4103 Ethical Hacking (see comment),1
2.1.3 Problem solving strategies,CM4105 Honours Individual Project,1
2.1.3 Problem solving strategies,CM4108 Cloud Computing (see comment),1
2.1.3 Problem solving strategies,CM4114 Games Development (see comment),1
2.1.4 Analyse if/how a system meets current and future requirements,CM4103 Ethical Hacking (see comment),1
2.1.4 Analyse if/how a system meets current and future requirements,CM4105 Honours Individual Project,1
2.1.4 Analyse if/how a system meets current and future requirements,CM4106 Languages and Compilers,1
2.1.4 Analyse if/how a system meets current and future requirements,CM4108 Cloud Computing (see comment),1
2.1.4 Analyse if/how a system meets current and future requirements,CM4110 Human Computer Interaction,1
2.1.4 Analyse if/how a system meets current and future requirements,CM4114 Games Development (see comment),1
2.1.4 Analyse if/how a system meets current and future requirements,CM4025 Enterprise Web Systems,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4103 Ethical Hacking (see comment),1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4105 Honours Individual Project,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4106 Languages and Compilers,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4107 Advanced Artificial Intelligence,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4108 Cloud Computing (see comment),1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4114 Games Development (see comment),1
2.1.6 Recognise legal social ethical & professional issues,CM4103 Ethical Hacking (see comment),1
2.1.6 Recognise legal social ethical & professional issues,CM4105 Honours Individual Project,1
2.1.6 Recognise legal social ethical & professional issues,CM4107 Advanced Artificial Intelligence,1
2.1.6 Recognise legal social ethical & professional issues,CM4108 Cloud Computing (see comment),1
2.1.6 Recognise legal social ethical & professional issues,CM4110 Human Computer Interaction,1
2.1.6 Recognise legal social ethical & professional issues,CM4114 Games Development (see comment),1
2.1.6 Recognise legal social ethical & professional issues,CM4025 Enterprise Web Systems,1
2.1.7 Knowledge and understanding of commercial and economic issues,CM4103 Ethical Hacking (see comment),1
2.1.7 Knowledge and understanding of commercial and economic issues,CM4105 Honours Individual Project,1
2.1.7 Knowledge and understanding of commercial and economic issues,CM4108 Cloud Computing (see comment),1
2.1.7 Knowledge and understanding of commercial and economic issues,CM4025 Enterprise Web Systems,1
2.1.8 Knowledge of management techniques to achieve objectives,CM4105 Honours Individual Project,1
2.1.9 Knowledge of information security issues,CM4103 Ethical Hacking (see comment),1
2.1.9 Knowledge of information security issues,CM4105 Honours Individual Project,1
2.1.9 Knowledge of information security issues,CM4108 Cloud Computing (see comment),1
2.1.9 Knowledge of information security issues,CM4025 Enterprise Web Systems,1
2.2.1 Specify design or construct computer-based systems,CM4103 Ethical Hacking (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4105 Honours Individual Project,1
2.2.1 Specify design or construct computer-based systems,CM4106 Languages and Compilers,1
2.2.1 Specify design or construct computer-based systems,CM4107 Advanced Artificial Intelligence,1
2.2.1 Specify design or construct computer-based systems,CM4108 Cloud Computing (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4110 Human Computer Interaction,1
2.2.1 Specify design or construct computer-based systems,CM4114 Games Development (see comment),1
2.2.1 Specify design or construct computer-based systems,CM4025 Enterprise Web Systems,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4103 Ethical Hacking (see comment),1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4105 Honours Individual Project,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4108 Cloud Computing (see comment),1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4110 Human Computer Interaction,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4025 Enterprise Web Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4103 Ethical Hacking (see comment),1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4105 Honours Individual Project,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4108 Cloud Computing (see comment),1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4110 Human Computer Interaction,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4114 Games Development (see comment),1
2.2.4 Deploy tools effectively,CM4103 Ethical Hacking (see comment),1
2.2.4 Deploy tools effectively,CM4105 Honours Individual Project,1
2.2.4 Deploy tools effectively,CM4108 Cloud Computing (see comment),1
2.2.4 Deploy tools effectively,CM4114 Games Development (see comment),1
2.3.2 Development of general transferable skills,CM4105 Honours Individual Project,1
2.3.2 Development of general transferable skills,CM4108 Cloud Computing (see comment),1
2.3.2 Development of general transferable skills,CM4110 Human Computer Interaction,1
2.3.2 Development of general transferable skills,CM4114 Games Development (see comment),1
3.1.1 Deploy systems to meet business goals,CM4103 Ethical Hacking (see comment),1
3.1.1 Deploy systems to meet business goals,CM4105 Honours Individual Project,1
3.1.1 Deploy systems to meet business goals,CM4108 Cloud Computing (see comment),1
3.1.1 Deploy systems to meet business goals,CM4025 Enterprise Web Systems,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4103 Ethical Hacking (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM4105 Honours Individual Project,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4108 Cloud Computing (see comment),1
3.1.2 Methods techniques and tools for information modelling management and security,CM4110 Human Computer Interaction,1
3.1.2 Methods techniques and tools for information modelling management and security,CM4025 Enterprise Web Systems,1
3.1.3 Knowledge of systems architecture,CM4105 Honours Individual Project,1
3.1.3 Knowledge of systems architecture,CM4106 Languages and Compilers,1
3.1.3 Knowledge of systems architecture,CM4108 Cloud Computing (see comment),1
3.1.3 Knowledge of systems architecture,CM4114 Games Development (see comment),1
3.1.3 Knowledge of systems architecture,CM4025 Enterprise Web Systems,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4105 Honours Individual Project,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4106 Languages and Compilers,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4110 Human Computer Interaction,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM4114 Games Development (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4103 Ethical Hacking (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4105 Honours Individual Project,1
3.2.1 Specify deploy verify and maintain information systems,CM4108 Cloud Computing (see comment),1
3.2.1 Specify deploy verify and maintain information systems,CM4025 Enterprise Web Systems,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4105 Honours Individual Project,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4107 Advanced Artificial Intelligence,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4108 Cloud Computing (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4110 Human Computer Interaction,1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4114 Games Development (see comment),1
3.2.2 Defining problems managing design process and evaluating outcomes,CM4025 Enterprise Web Systems,1
3.2.3 System Design,CM4105 Honours Individual Project,1
3.2.3 System Design,CM4108 Cloud Computing (see comment),1
3.2.3 System Design,CM4110 Human Computer Interaction,1
3.2.3 System Design,CM4114 Games Development (see comment),1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4105 Honours Individual Project,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4106 Languages and Compilers,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM4108 Cloud Computing (see comment),1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM4105 Honours Individual Project,1
4.1.3 Knowledge and understanding of computational modelling,CM4105 Honours Individual Project,1
4.1.3 Knowledge and understanding of computational modelling,CM4106 Languages and Compilers,1
4.1.3 Knowledge and understanding of computational modelling,CM4108 Cloud Computing (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4103 Ethical Hacking (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4105 Honours Individual Project,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4108 Cloud Computing (see comment),1
4.2.1 Specify deploy verify and maintain computer-based systems,CM4025 Enterprise Web Systems,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4105 Honours Individual Project,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4106 Languages and Compilers,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4107 Advanced Artificial Intelligence,1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4108 Cloud Computing (see comment),1
4.2.2 Defining problems managing design process and evaluating outcomes,CM4025 Enterprise Web Systems,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4105 Honours Individual Project,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4106 Languages and Compilers,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM4108 Cloud Computing (see comment),1
